Ready Processes, Interactive Chance, Avg Total Processes
19745,1,20000
835,21,960
404,41,480
265,61,328
195,81,245
153,101,196
132,121,171
107,141,143
95,161,129
81,181,112
74,201,103
62,221,88
60,241,87
52,261,78
46,281,71
43,301,66
39,321,63
30,341,53
28,361,49
31,381,54
28,401,49
24,421,45
24,441,44
20,461,41
19,481,39
17,501,37
16,521,35
16,541,36
17,561,37
15,581,34
14,601,33
13,621,31
11,641,28
13,661,30
9,681,26
11,701,30
11,721,28
9,741,27
9,761,26
10,781,26
5,801,21
5,821,23
6,841,22
6,861,22
5,881,21
7,901,24
4,921,21
4,941,21
4,961,20
5,981,22
