Ready Processes, Interactive Chance, Avg Total Processes
9980,1,10000
420,21,467
200,41,238
127,61,160
92,81,123
71,101,100
52,121,79
44,141,70
40,161,65
28,181,53
25,201,49
20,221,43
18,241,42
15,261,39
9,281,31
13,301,35
10,321,31
7,341,28
6,361,26
5,381,25
4,401,24
2,421,21
2,441,22
3,461,24
5,481,22
3,501,18
2,521,18
2,541,16
2,561,20
1,581,15
2,601,16
2,621,18
1,641,14
1,661,14
2,681,13
1,701,14
1,721,14
1,741,11
1,761,13
2,781,14
1,801,11
1,821,12
1,841,14
2,861,13
1,881,13
0,901,11
1,921,10
1,941,11
0,961,11
0,981,9
