Ready Processes, Interactive Chance
9351,1
4423,2
2860,3
2106,4
1663,5
1387,6
1173,7
1011,8
906,9
800,10
728,11
658,12
630,13
578,14
539,15
506,16
468,17
439,18
409,19
395,20
369,21
351,22
342,23
322,24
315,25
311,26
285,27
277,28
268,29
266,30
249,31
241,32
228,33
223,34
218,35
215,36
212,37
203,38
202,39
194,40
189,41
180,42
186,43
179,44
174,45
167,46
171,47
164,48
164,49
158,50
152,51
152,52
146,53
148,54
148,55
135,56
136,57
133,58
128,59
129,60
134,61
129,62
118,63
120,64
123,65
117,66
120,67
114,68
107,69
109,70
109,71
111,72
109,73
103,74
101,75
99,76
97,77
98,78
95,79
94,80
93,81
98,82
95,83
94,84
90,85
89,86
86,87
92,88
89,89
88,90
85,91
82,92
79,93
80,94
82,95
79,96
77,97
79,98
75,99
73,100
76,101
73,102
73,103
72,104
73,105
73,106
68,107
69,108
69,109
69,110
69,111
68,112
72,113
66,114
66,115
63,116
66,117
60,118
60,119
65,120
57,121
68,122
66,123
62,124
59,125
63,126
55,127
55,128
56,129
57,130
57,131
59,132
55,133
55,134
58,135
59,136
53,137
55,138
56,139
55,140
53,141
53,142
49,143
53,144
52,145
54,146
49,147
49,148
53,149
46,150
52,151
51,152
51,153
52,154
48,155
46,156
52,157
45,158
49,159
50,160
43,161
43,162
45,163
45,164
45,165
43,166
45,167
48,168
43,169
44,170
48,171
44,172
45,173
42,174
43,175
44,176
44,177
41,178
42,179
42,180
40,181
44,182
41,183
40,184
39,185
38,186
38,187
40,188
38,189
41,190
39,191
36,192
37,193
38,194
42,195
37,196
37,197
39,198
36,199
36,200
37,201
37,202
37,203
38,204
34,205
35,206
34,207
39,208
34,209
34,210
30,211
34,212
33,213
36,214
35,215
34,216
34,217
35,218
36,219
32,220
34,221
30,222
34,223
32,224
34,225
33,226
31,227
33,228
32,229
31,230
33,231
31,232
32,233
31,234
30,235
30,236
32,237
30,238
32,239
31,240
30,241
30,242
30,243
30,244
28,245
27,246
30,247
32,248
29,249
31,250
29,251
30,252
30,253
29,254
27,255
27,256
27,257
28,258
28,259
27,260
30,261
32,262
27,263
27,264
27,265
24,266
28,267
31,268
29,269
26,270
28,271
26,272
25,273
28,274
25,275
26,276
23,277
28,278
29,279
25,280
25,281
26,282
26,283
25,284
27,285
27,286
22,287
24,288
24,289
24,290
25,291
26,292
24,293
25,294
24,295
23,296
25,297
23,298
22,299
23,300
24,301
24,302
21,303
24,304
25,305
21,306
26,307
23,308
23,309
23,310
24,311
22,312
22,313
23,314
22,315
23,316
22,317
22,318
23,319
22,320
20,321
24,322
22,323
20,324
24,325
19,326
22,327
21,328
21,329
21,330
21,331
24,332
20,333
20,334
22,335
23,336
23,337
17,338
22,339
21,340
20,341
21,342
23,343
22,344
23,345
20,346
20,347
22,348
20,349
21,350
18,351
19,352
19,353
21,354
20,355
19,356
18,357
21,358
19,359
20,360
18,361
20,362
22,363
22,364
17,365
20,366
17,367
21,368
19,369
20,370
18,371
18,372
17,373
20,374
19,375
18,376
19,377
20,378
20,379
19,380
18,381
19,382
19,383
18,384
18,385
18,386
18,387
17,388
17,389
20,390
16,391
16,392
18,393
19,394
18,395
18,396
15,397
14,398
17,399
21,400
17,401
18,402
19,403
17,404
17,405
19,406
20,407
17,408
15,409
18,410
17,411
17,412
15,413
17,414
19,415
16,416
15,417
15,418
19,419
15,420
16,421
16,422
18,423
16,424
17,425
16,426
20,427
15,428
14,429
17,430
16,431
15,432
17,433
15,434
15,435
14,436
15,437
17,438
16,439
15,440
12,441
15,442
15,443
15,444
17,445
16,446
17,447
14,448
14,449
16,450
14,451
14,452
14,453
15,454
16,455
16,456
13,457
15,458
14,459
14,460
14,461
13,462
14,463
15,464
15,465
16,466
15,467
14,468
16,469
15,470
15,471
14,472
16,473
14,474
16,475
12,476
13,477
14,478
16,479
13,480
14,481
15,482
15,483
13,484
15,485
14,486
13,487
16,488
14,489
13,490
14,491
13,492
14,493
16,494
13,495
14,496
12,497
12,498
15,499
15,500
14,501
13,502
13,503
12,504
12,505
12,506
12,507
13,508
15,509
15,510
13,511
13,512
14,513
14,514
14,515
11,516
12,517
13,518
12,519
14,520
16,521
14,522
13,523
11,524
11,525
14,526
14,527
12,528
13,529
14,530
13,531
12,532
13,533
11,534
13,535
13,536
13,537
13,538
13,539
10,540
12,541
13,542
13,543
8,544
12,545
11,546
13,547
10,548
10,549
13,550
14,551
12,552
11,553
13,554
12,555
11,556
11,557
13,558
11,559
9,560
13,561
10,562
11,563
12,564
12,565
12,566
9,567
10,568
13,569
11,570
13,571
12,572
13,573
11,574
11,575
10,576
11,577
11,578
10,579
14,580
