Ready Processes, Interactive Chance, Avg Total Processes
8850,1,10000
350,21,472
182,41,255
106,61,163
78,81,122
57,101,97
44,121,82
36,141,68
30,161,62
24,181,57
22,201,50
18,221,44
15,241,43
12,261,40
11,281,35
9,301,35
8,321,32
6,341,30
7,361,30
4,381,25
3,401,24
5,421,24
3,441,22
3,461,22
2,481,20
3,501,20
3,521,18
2,541,18
2,561,18
2,581,17
2,601,17
2,621,14
2,641,15
2,661,15
1,681,15
2,701,15
1,721,12
2,741,12
1,761,13
1,781,12
1,801,11
1,821,12
1,841,12
1,861,11
1,881,12
1,901,11
1,921,10
1,941,8
1,961,9
1,981,9
