Ready Processes, Batch Chance, Avg Total Processes
9997,1,10000
5000,2,5005
3308,3,3320
2474,4,2491
1984,5,2004
1661,6,1684
1409,7,1438
1221,8,1251
1091,9,1123
987,10,1019
876,11,913
818,12,852
727,13,759
683,14,715
645,15,675
598,16,632
558,17,591
531,18,563
506,19,538
459,20,490
442,21,474
421,22,450
405,23,432
389,24,416
384,25,412
361,26,387
342,27,369
328,28,350
327,29,354
311,30,333
299,31,323
297,32,323
268,33,294
270,34,293
256,35,280
255,36,278
251,37,276
247,38,267
237,39,259
225,40,249
225,41,246
219,42,243
208,43,230
208,44,231
208,45,225
196,46,215
196,47,216
190,48,206
183,49,199
191,50,209
179,51,198
180,52,199
169,53,185
163,54,182
160,55,177
164,56,181
163,57,179
158,58,177
151,59,169
145,60,161
153,61,167
142,62,157
138,63,152
142,64,156
131,65,148
135,66,149
145,67,160
133,68,148
136,69,150
127,70,142
127,71,141
129,72,142
127,73,138
118,74,131
116,75,130
115,76,131
114,77,129
111,78,123
121,79,132
114,80,128
115,81,129
117,82,129
112,83,126
103,84,116
100,85,113
104,86,116
105,87,117
100,88,113
103,89,116
99,90,111
97,91,109
97,92,110
93,93,106
94,94,107
90,95,100
91,96,102
97,97,110
87,98,98
89,99,100
86,100,99
