Ready Processes, Interactive Chance, Avg Total Processes
8850,1,10000
4197,2,4986
2744,3,3335
2029,4,2514
1626,5,2004
1349,6,1692
1150,7,1437
1005,8,1265
881,9,1112
775,10,987
710,11,906
653,12,830
600,13,773
558,14,712
527,15,667
489,16,630
467,17,597
433,18,552
405,19,525
390,20,500
371,21,479
358,22,459
342,23,442
321,24,410
310,25,399
302,26,387
292,27,379
281,28,360
267,29,347
254,30,329
252,31,329
241,32,314
236,33,306
233,34,304
210,35,276
198,36,263
205,37,269
201,38,257
202,39,262
189,40,246
184,41,237
182,42,238
171,43,226
168,44,221
170,45,222
166,46,219
158,47,207
162,48,210
157,49,207
156,50,202
146,51,194
141,52,187
142,53,185
138,54,183
135,55,178
137,56,175
136,57,179
124,58,162
125,59,167
129,60,169
126,61,166
117,62,155
114,63,155
122,64,160
117,65,152
113,66,149
116,67,150
114,68,148
105,69,142
116,70,148
103,71,139
99,72,132
105,73,138
97,74,130
102,75,134
95,76,125
94,77,125
94,78,128
98,79,128
95,80,126
94,81,124
91,82,121
91,83,121
91,84,120
87,85,118
86,86,118
85,87,115
85,88,114
88,89,117
83,90,110
76,91,103
77,92,102
81,93,107
80,94,107
82,95,109
74,96,100
74,97,103
75,98,102
76,99,103
75,100,100
